Stock,Alpha,Beta,R_squared,Beta_pvalue,Annual_Volatility,Average_Return
BHARTIARTL.NS,0.0007657831982558287,0.7956433636635629,0.2514024558683452,3.524035155456373e-89,0.22471455147614877,0.0011115357516559852
HDFCBANK.NS,-0.00031792675552782564,1.0873897505858094,0.5041241218418795,3.3523629455735654e-213,0.2168753663142785,0.00015853010787416497
ITC.NS,0.000195844526834784,0.6531784860356822,0.20715118337848837,7.263443206194201e-72,0.2032276018128456,0.0004809325727523365
LT.NS,0.00047163038713280065,1.1805601407320472,0.45620136760777874,1.9591962522796482e-185,0.24751753936226245,0.0009865625094986937
M&M.NS,0.0007955437999287599,1.1920523373185827,0.34562273196815985,1.0526312449493486e-129,0.2871383032447852,0.0013145702913063663
RELIANCE.NS,-0.00010104658965685387,1.0875777428459665,0.4578760630660085,2.3102658997314292e-186,0.22760427502105807,0.0003748688205392351
SUNPHARMA.NS,0.0007247230330442644,0.5764399139432823,0.15233836644066523,1.0767298362034417e-51,0.2091445120724604,0.0009747305314927145
TCS.NS,-0.0002937822505559613,0.7890710681399928,0.24960825796052355,1.8558501775834413e-88,0.22365586910718988,5.2142991479278706e-05
